"lang"
{
"Language" "japanese"
"Tokens"
{
"Valve_Listen_MapName"			"マップ"
"Valve_Movement_Title"			"移動"
"Valve_Move_Forward"			"前進"
"Valve_Move_Back"			"後退"
"Valve_Turn_Left"			"左を向く"
"Valve_Turn_Right"			"右を向く"
"Valve_Move_Left"			"左に平行移動"
"Valve_Move_Right"			"右に平行移動"
"Valve_Jump"				"ジャンプ"
"Valve_Duck"				"しゃがむ"
"Valve_Swim_Up"				"上へ泳ぐ"
"Valve_Swim_Down"			"潜水する"
"Valve_Look_Up"				"上を向く"
"Valve_Look_Down"			"下を向く"
"Valve_Look_Straight_Ahead"		"視点を正面に戻す"
"Valve_Strafe_Modifier"			"平行移動モード"
"Valve_Mouse_Look_Modifier"		"マウスルックモード"
"Valve_Keyboard_Look_Modifier"		"キーボードルックモード"
"Valve_Use_Items"			"アイテム(ボタン、マシン...)を使う"
"Valve_Pickup_Use_Objects"		"対象を拾う/使う"
"Valve_Communication_Title"		"コミュニケーション"
"Valve_Use_Voice_Communication"		"音声チャットを使う"
"Valve_Chat_Message"			"チャットメッセージ"
"Valve_Team_Message"			"チームメッセージ"
"Valve_Combat_Title"			"戦闘"
"Valve_Primary_Attack"			"攻撃1"
"Valve_Secondary_Attack"		"攻撃2"
"Valve_Reload_Weapon"			"リロード"
"Valve_Walk"				"歩く(ゆっくり移動)"
"Valve_Flashlight"			"フラッシュライト"
"Valve_Spray_Logo"			"スプレーロゴ"
"Valve_ServerOfferingToConnect"		"このサーバーの接続先："
"Valve_PressKeyToAccept"		"承諾するには %s1 を押してください。"
"Valve_BindKeyToAccept"			"承諾キーを割り当ててください。"
"Valve_Weapon_Category_1"		"武器カテゴリー1"
"Valve_Weapon_Category_2"		"武器カテゴリー2"
"Valve_Weapon_Category_3"		"武器カテゴリー3"
"Valve_Weapon_Category_4"		"武器カテゴリー4"
"Valve_Weapon_Category_5"		"武器カテゴリー5"
"Valve_Weapon_Category_6"		"武器カテゴリー6"
"Valve_Weapon_Category_7"		"武器カテゴリー7"
"Valve_Weapon_Category_8"		"武器カテゴリー8"
"Valve_Weapon_Category_9"		"武器カテゴリー9"
"Valve_Weapon_Category_0"		"武器カテゴリー0"
"Valve_Previous_Weapon"			"前の武器を選択"
"Valve_Next_Weapon"			"次の武器を選択"
"Valve_Last_Weapon_Used"		"直前に使った武器を選択"
"Valve_Miscellaneous_Title"		"その他"
"Valve_Display_Scores"			"スコアを表示"
"Valve_Take_Screen_Shot"		"スクリーンショットを撮影"
"Valve_Quick_Save"			"クイックセーブ"
"Valve_Quick_Load"			"クイックロード"
"Valve_Pause_Game"			"ゲームの中断"
"Valve_Quit_Game"			"ゲームの終了"
"Valve_Accept_Redirect"			"別サーバーのリダイレクトを承諾する。"
"Valve_Cheer"				"応援する"
"Valve_Activate_In_Game_GUI"		"ゲーム内でアイコンを使用"
"Valve_Change_Team"			"チーム変更"
"Valve_Change_Class"			"クラス変更"
"Valve_Use_Special_Skill"		"特殊スキルを使用"
"Valve_Multiplayer_Decal_Limit"		"弾痕数上限(マルチプレイ)"
"Valve_Valid_Teams"			"使用可能チーム、すべてなら空白"
"Valve_Frag_Limit"			"フラグ制限"
"Valve_Time_Limit"			"時間制限(分)"
"Valve_Falling_Damage"			"落下ダメージ"
"Valve_Normal"				"普通"
"Valve_Realistic"			"リアリスティック"
"Valve_Teamplay"			"チームプレイ"
"Valve_Friendly_Fire"			"味方へのダメージ"
"Valve_Weapons_Stay"			"武器を残す"
"Valve_Force_Respawn"			"強制的な復活"
"Valve_Footsteps"			"足音"
"Valve_Autocrosshair"			"照準マークの自動変更"
"Valve_Center_Player_Names"		"プレイヤー名を中央に表示"
"Valve_Switch_Weapons_Immediately"	"瞬時に武器を切替える"
"Valve_Automatic_Screenshots"		"ゲーム終了時にスクリーンショットを自動撮影"
"Valve_Observer_Crosshair"		"観戦時に照準を表示"
"Valve_Console_Toggle"		"開発者コンソール ON/OFF"


"Spec_Slow_Motion"	"スローモーション"
"Spec_No_PIP" "
ピクチャー・イン・ピクチャーは、
一人称でプレイ中は使用できません。
"

"Spec_Replay" "インスタントリプレイ"
"Spec_Auto"	"オート"
"Spec_Time"	"時間"
"Spec_Map" "マップ： %s1"
"Spectators" "観戦者"
"Spec_PlayerItem_Health" "%s1(%s2)"
"Spec_PlayerItem" "%s1"
"Spec_PlayerItem_Team" "%s1(%s2)"
"Spec_Duck"	"しゃがむキーで観戦メニューを開く"
"Spec_Help_Title" "観戦モード"
"Spec_Help_Text"  "
以下のキーを使用して、視点スタイルを変更する：

 攻撃1 - 次のプレイヤーを追跡する
 攻撃2 - 前のプレイヤーを追跡する
 ジャンプ - 視点モードを変更する
 使う - 挿入ウィンドウモードを変更する
 
 しゃがむ - 観戦メニューを開く
  
マップ見下ろしモードでの移動：

 左に移動 - 左に移動
 右に移動 - 右に移動
 前進 - ズームイン
 後退 - ズームアウト
 マウス - マップ/ターゲットを周回
"

"Spec_Modes"	"カメラ オプション"
"Spec_Mode0"	"カメラ無効"
"Spec_Mode1"	"死後のカメラ"
"Spec_Mode2"	"視点固定"
"Spec_Mode3"	"プレイヤー視点"
"Spec_Mode4"	"バードビュー"
"Spec_Mode5"	"フリー ルック"
"Spec_Mode6" "マップ見下ろし(追跡)"
"Spec_NoTarget"	"有効なターゲットなし。 カメラモードに切替できません。"
"Spec_Options"	"設定"
"OBS_NONE" "カメラオプション"
"OBS_CHASE_LOCKED" "バードビュー(追跡)"
"OBS_CHASE_FREE" "バードビュー(自由)"
"OBS_ROAMING" "フリールック"
"OBS_IN_EYE" "プレイヤー視点"
"OBS_MAP_FREE" "マップ見下ろし(自由)"
"OBS_MAP_CHASE" "マップ見下ろし(追跡)"
"SPECT_OPTIONS" "設定"
"CAM_OPTIONS" "カメラオプション"

"PlayerName"	"名前"
"PlayerScore"	"スコア"
"PlayerDeath"	"死亡回数"
"PlayerPing"	"レイテンシー"
"PlayerVoice"	"ボイス"
"PlayerTracker"	"フレンド"

"T0A0TITLE"	"ハザードコース"
"C0A0TITLE"	"ブラックメサへようこそ"
"C0A1TITLE"	"特異物質"
"C1A1TITLE"	"予測不可能"
"C1A2TITLE"	"研究施設"
"C1A3TITLE"	"敵を発見！"
"C1A4TITLE"	"爆破試験場"
"C2A1TITLE"	"発電機"
"C2A2TITLE"	"構内モノレール"
"C2A3TITLE"	"理解"
"C2A4TITLE1"	"廃棄物処理場"
"C2A4TITLE2"	"科学の罪"
"C2A5TITLE"	"緊張の高まり"
"C3A1TITLE"	"フリーマンに構うな！"
"C3A2TITLE"	"ラムダコア"
"C4A1TITLE"	"異界"
"C4A1ATITLE"	"侵入者"
"C4A2TITLE"	"ゴナークの巣"
"C4A3TITLE"	"ニヒリス"
"C5TITLE"	"選択の時間"

"Valve_Hostname"	"ホストネーム"
"Valve_Max_Players"	"最大 プレイヤー"
"Valve_Server_Password"	"サーバーパスワード"

"Valve_Close"		"閉じる"
"Valve_Help"		"ヘルプ"
"Valve_Settings"	"設定"
"Valve_Chat_Messages"	"チャットメッセージ"
"Valve_Show_Status"	"ステータスを表示"
"Valve_View_Cone"	"視界の表示"
"Valve_Player_Names"	"プレイヤー名"
"Valve_PIP"		"ピクチャー・イン・ピクチャー"
"Valve_Overview"	"概観"
"Valve_Overview_Off"	"マップなし"
"Valve_Overview_Small"	"マップを小さく"
"Valve_Overview_Large"	"マップを大きく"
"Valve_Overview_ZoomIn"	"ズームイン"
"Valve_Overview_Zoomout" "ズームアウト"
"Valve_Overview_Locked"	"回転なし"
"Valve_Overview_Names"	"名前を表示"
"Valve_Overview_Health"	"ヘルスを表示"
"Valve_Overview_Tracks"	"経路を表示"
"Valve_Auto_Director"	"オートダイレクション"
"Valve_Show_Scores"	"スコアを表示"
"Valve_Game_Saved"	"セーブされました"

"Valve_Orange"		"オレンジ"
"Valve_Yellow"		"黄"
"Valve_Blue"		"青"
"Valve_Ltblue"		"水色"
"Valve_Green"		"緑"
"Valve_Red"		"赤"
"Valve_Brown"		"茶"
"Valve_Ltgray"		"薄いグレー"
"Valve_Dkgray"		"濃いグレー"

"Valve_Playing"		"再生"
"Valve_Stopped"		"停止"
"Valve_Paused"		"一時停止"

"Valve_x_1_4"		"x1/4"
"Valve_x_1_2"		"x1/2"
"Valve_x_1"		"x1"
"Valve_x_2"		"x2"
"Valve_x_4"		"x4"

"Valve_ViewDemoStatus"	"%s1  %s2  %s3"

"Valve_Hint_Zoom"	"%+zoom% ズーム表示"
"Valve_Hint_machinegun"	"%+USE% 設置式銃を使う"
"Valve_Hint_Flashlight"	"%impulse 100% フラッシュライト"
