"lang"
{
"Language" "Français (French)"
"Tokens"
{
//ammocheck sounds

"AmmoCheck.Alt8.Full" "Mon chargeur est plein."
"AmmoCheck.Alt8.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Alt8.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt8.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt8.15" "Il me reste quinze balles."
"AmmoCheck.Alt8.14" "Il me reste quatorze balles."
"AmmoCheck.Alt8.13" "Il me reste treize balles."
"AmmoCheck.Alt8.12" "Il me reste douze balles."
"AmmoCheck.Alt8.11" "Il me reste onze balles."
"AmmoCheck.Alt8.10" "Il me reste dix balles."
"AmmoCheck.Alt8.9" "Il me reste neuf balles!"
"AmmoCheck.Alt8.8" "Il me reste huit balles!"
"AmmoCheck.Alt8.7" "Il me reste sept balles!"
"AmmoCheck.Alt8.6" "Il me reste six balles!"
"AmmoCheck.Alt8.5" "Il me reste cinq balles!"
"AmmoCheck.Alt8.4" "Il me reste quatre balles!"
"AmmoCheck.Alt8.3" "Il me reste trois balles!"
"AmmoCheck.Alt8.2" "Il me reste deux balles!"
"AmmoCheck.Alt8.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Alt8.0" "Je n'ai plus de munition!"

"AmmoCheck.Alt7.Full" "Mon chargeur est plein."
"AmmoCheck.Alt7.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Alt7.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt7.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt7.15" "Il me reste quinze balles."
"AmmoCheck.Alt7.14" "Il me reste quatorze balles."
"AmmoCheck.Alt7.13" "Il me reste treize balles."
"AmmoCheck.Alt7.12" "Il me reste douze balles."
"AmmoCheck.Alt7.11" "Il me reste onze balles."
"AmmoCheck.Alt7.10" "Il me reste dix balles."
"AmmoCheck.Alt7.9" "Il me reste neuf balles!"
"AmmoCheck.Alt7.8" "Il me reste huit balles!"
"AmmoCheck.Alt7.7" "Il me reste sept balles!"
"AmmoCheck.Alt7.6" "Il me reste six balles!"
"AmmoCheck.Alt7.5" "Il me reste cinq balles!"
"AmmoCheck.Alt7.4" "Il me reste quatre balles!"
"AmmoCheck.Alt7.3" "Il me reste trois balles!"
"AmmoCheck.Alt7.2" "Il me reste deux balles!"
"AmmoCheck.Alt7.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Alt7.0" "Je n'ai plus de munition!"

"AmmoCheck.FemaleDefault.Full" "Mon chargeur est plein."
"AmmoCheck.FemaleDefault.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.FemaleDefault.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.FemaleDefault.Half" "Chargeur à moitié rempli."
"AmmoCheck.FemaleDefault.15" "Il me reste quinze balles."
"AmmoCheck.FemaleDefault.14" "Il me reste quatorze balles."
"AmmoCheck.FemaleDefault.13" "Il me reste treize balles."
"AmmoCheck.FemaleDefault.12" "Il me reste douze balles."
"AmmoCheck.FemaleDefault.11" "Il me reste onze balles."
"AmmoCheck.FemaleDefault.10" "Il me reste dix balles."
"AmmoCheck.FemaleDefault.9" "Il me reste neuf balles!"
"AmmoCheck.FemaleDefault.8" "Il me reste huit balles!"
"AmmoCheck.FemaleDefault.7" "Il me reste sept balles!"
"AmmoCheck.FemaleDefault.6" "Il me reste six balles!"
"AmmoCheck.FemaleDefault.5" "Il me reste cinq balles!"
"AmmoCheck.FemaleDefault.4" "Il me reste quatre balles!"
"AmmoCheck.FemaleDefault.3" "Il me reste trois balles!"
"AmmoCheck.FemaleDefault.2" "Il me reste deux balles!"
"AmmoCheck.FemaleDefault.1" "Il ne me reste qu'une balle!"
"AmmoCheck.FemaleDefault.0" "Je n'ai plus de munition!"

"AmmoCheck.Alt6.Full" "Mon chargeur est plein."
"AmmoCheck.Alt6.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Alt6.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt6.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt6.15" "Il me reste quinze balles."
"AmmoCheck.Alt6.14" "Il me reste quatorze balles."
"AmmoCheck.Alt6.13" "Il me reste treize balles."
"AmmoCheck.Alt6.12" "Il me reste douze balles."
"AmmoCheck.Alt6.11" "Il me reste onze balles."
"AmmoCheck.Alt6.10" "Il me reste dix balles."
"AmmoCheck.Alt6.9" "Il me reste neuf balles!"
"AmmoCheck.Alt6.8" "Il me reste huit balles!"
"AmmoCheck.Alt6.7" "Il me reste sept balles!"
"AmmoCheck.Alt6.6" "Il me reste six balles!"
"AmmoCheck.Alt6.5" "Il me reste cinq balles!"
"AmmoCheck.Alt6.4" "Il me reste quatre balles!"
"AmmoCheck.Alt6.3" "Il me reste trois balles!"
"AmmoCheck.Alt6.2" "Il me reste deux balles!"
"AmmoCheck.Alt6.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Alt6.0" "Je n'ai plus de munition!"

"AmmoCheck.Alt5.Full" "Mon chargeur est plein."
"AmmoCheck.Alt5.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Alt5.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt5.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt5.15" "Il me reste quinze balles."
"AmmoCheck.Alt5.14" "Il me reste quatorze balles."
"AmmoCheck.Alt5.13" "Il me reste treize balles."
"AmmoCheck.Alt5.12" "Il me reste douze balles."
"AmmoCheck.Alt5.11" "Il me reste onze balles."
"AmmoCheck.Alt5.10" "Il me reste dix balles."
"AmmoCheck.Alt5.9" "Il me reste neuf balles!"
"AmmoCheck.Alt5.8" "Il me reste huit balles!"
"AmmoCheck.Alt5.7" "Il me reste sept balles!"
"AmmoCheck.Alt5.6" "Il me reste six balles!"
"AmmoCheck.Alt5.5" "Il me reste cinq balles!"
"AmmoCheck.Alt5.4" "Il me reste quatre balles!"
"AmmoCheck.Alt5.3" "Il me reste trois balles!"
"AmmoCheck.Alt5.2" "Il me reste deux balles!"
"AmmoCheck.Alt5.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Alt5.0" "Je n'ai plus de munition!"

"AmmoCheck.Alt4.Full" "Mon chargeur est plein."
"AmmoCheck.Alt4.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Alt4.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt4.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt4.15" "Il me reste quinze balles."
"AmmoCheck.Alt4.14" "Il me reste quatorze balles."
"AmmoCheck.Alt4.13" "Il me reste treize balles."
"AmmoCheck.Alt4.12" "Il me reste douze balles."
"AmmoCheck.Alt4.11" "Il me reste onze balles."
"AmmoCheck.Alt4.10" "Il me reste dix balles."
"AmmoCheck.Alt4.9" "Il me reste neuf balles!"
"AmmoCheck.Alt4.8" "Il me reste huit balles!"
"AmmoCheck.Alt4.7" "Il me reste sept balles!"
"AmmoCheck.Alt4.6" "Il me reste six balles!"
"AmmoCheck.Alt4.5" "Il me reste cinq balles!"
"AmmoCheck.Alt4.4" "Il me reste quatre balles!"
"AmmoCheck.Alt4.3" "Il me reste trois balles!"
"AmmoCheck.Alt4.2" "Il me reste deux balles!"
"AmmoCheck.Alt4.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Alt4.0" "Je n'ai plus de munition!"

"AmmoCheck.Alt3.Full" "Mon chargeur est plein."
"AmmoCheck.Alt3.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Alt3.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt3.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt3.15" "Il me reste quinze balles."
"AmmoCheck.Alt3.14" "Il me reste quatorze balles."
"AmmoCheck.Alt3.13" "Il me reste treize balles."
"AmmoCheck.Alt3.12" "Il me reste douze balles."
"AmmoCheck.Alt3.11" "Il me reste onze balles."
"AmmoCheck.Alt3.10" "Il me reste dix balles."
"AmmoCheck.Alt3.9" "Il me reste neuf balles!"
"AmmoCheck.Alt3.8" "Il me reste huit balles!"
"AmmoCheck.Alt3.7" "Il me reste sept balles!"
"AmmoCheck.Alt3.6" "Il me reste six balles!"
"AmmoCheck.Alt3.5" "Il me reste cinq balles!"
"AmmoCheck.Alt3.4" "Il me reste quatre balles!"
"AmmoCheck.Alt3.3" "Il me reste trois balles!"
"AmmoCheck.Alt3.2" "Il me reste deux balles!"
"AmmoCheck.Alt3.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Alt3.0" "Je n'ai plus de munition!"

