"lang" 
{ 
"Language" "English" 
"Tokens" 
{ 

"GameUI_Error"	"Error"
"GameUI_Notice"	"Notice"
"GameUI_Confirm"	"Confirm"

"GameUI_Enable_Addons"			"Enable add-ons"

"MainMenu_FindServers"			"FIND SERVERS"
"MainMenu_CreateServer"			"CREATE SERVER"
"MainMenu_CharacterSelect"		"CHARACTER SELECT"
"MainMenu_Addons"				"ADD-ONS"
"MainMenu_Options"				"OPTIONS"
"MainMenu_Quit"					"QUIT"

"MainMenu_ResumeGame"			"RESUME GAME"
"MainMenu_Disconnect"			"DISCONNECT"
"MainMenu_PlayerList"			"MUTE PLAYERS"
"MainMenu_CallVote"				"CALL VOTE"

"NMRiH_Dev_NextObjective"		"Next Objective: %s1"

"NMRiH_CharSelect_Random"		"Random"
"NMRiH_CharSelect_Next"			"Next"
"NMRiH_CharSelect_Previous"		"Previous"
"NMRiH_CharSelect_VoicePreview"	"Preview"

"NMRiH_Options_Compass"			"Compass"
"NMRiH_Options_InventoryWeapons"	"Weapon inventory"
"NMRiH_Options_InventoryAmmo"		"Ammo inventory"
"NMRiH_Options_VoiceCommands"		"Voice commands"
"NMRiH_Options_Suicide"			"Suicide"
"NMRiH_Options_Shove"			"Shove/Bash"
"NMRiH_Options_ShowObjective"		"Show current objective"
"NMRiH_Options_DropWeapon"		"Drop weapon (hold for Throw weapon)"
"NMRiH_Options_Sprint"			"Sprint"
"NMRiH_Options_Reload"			"Reload (hold for Ammo Check)"
"NMRiH_Options_Holster"			"Holster weapon"
"NMRiH_Options_UnloadWeapon"		"Unload weapon"
"NMRiH_Call_Vote"				"Call vote"
"NMRiH_Options_SelectFire"		"Change fire mode"
"NMRiH_Options_ShowMOTD"		"Show message of the day"
"NMRiH_Options_RecordDemo"		"Record demo"

"NMRiH_Advanced_fov_desired"			"Field of view (75-110)"
"NMRiH_Advanced_cl_textfilter"			"Enable chat text filter (powered by Steam)"
"NMRiH_Advanced_cl_richpresence"		"Enable rich presence (Discord / Steam)"
"NMRiH_Advanced_cl_vmcamera_enabled"	"Enable viewmodel headbobbing"
"NMRiH_Advanced_cl_stickyironsight"		"Enable toggable ironsights"
"NMRiH_Advanced_cl_voicesubtitles"		"Enable voice subtitles in chat"
"NMRiH_Advanced_cl_ejectbrass"			"Enable ejecting bullet casings/shotgun shells"
"NMRiH_Advanced_cl_muzzle_dlight"		"Enable Dynamic Lighting for Muzzle Flashes (expensive)"
"NMRiH_Advanced_cl_disablehtmlmotd"		"Disable HTML MOTD"
"NMRiH_Advanced_fov_allow_change"		"FOV can be altered by gameplay"
"NMRiH_Advanced_nmrih_screenspace"		"Enable screen shaders (disable only for troubleshooting)"
"NMRiH_Advanced_nmrih_screenspace_shadow"	"Enable screen vignette effect"
"NMRiH_Advanced_nmrih_grain"			"Enable film grain"
"NMRiH_Advanced_nmrih_grain_intensity"	"Intensity of film grain shader"
"NMRiH_Advanced_nmrih_lensflare"		"Enable lens flare"
"NMRiH_Advanced_nmrih_dof"				"Enable Depth of Field"
