"lang" 
{ 
"Language" "Polish" 
"Tokens" 
{ 

"NMRiH_Map_Time"			"Czas mapy"
"NMRiH_Extract_Min"			"Extraction Min"
"NMRiH_Extract_Max"			"Extraction Max"

"NMRiH_FriendlyFire"			"Friendly Fire"
"NMRiH_RealismMode"				"Tryb realistyczny"
"NMRiH_HardcoreSurvival"		"Hardcore Survival"

"NMRiH_Practice_Starting"		"Za mało graczy aby rozpocząć. Uruchamianie treningu"
"NMRiH_Practice_Ending"			"Gra rozpocznie się wkrótce!"
"NMRiH_Round_Starting"			"Przetrwanie rozpocznie się za 5 sekund."

"NMRiH_Extraction_Preview"		"Idź do bezpiecznego punktu!"
"NMRiH_Extraction_Start"		""
"NMRiH_Post_Extraction"			"Klęska!"

"NMRiH_Player_Extracted"		"Zostałeś ocalony!"

"NMRiH_Players_Win"			"Wszyscy gracze zostali ocaleni!"
"NMRiH_Players_Win_Wave"		"Ocaleni nie wytrzymali ataku hordy!"
"NMRiH_Zombies_Win"			"Ocaleni zostali zgładzeni!"

"NMRiH_Chat_All_Extracted"		"(Ocalony) %s1 :  %s2"

"NMRiH_Waiting_For_Spawn"		"Oczekiwanie na odrodzenie.."

"NMRiH_Health_Supply_Blocked"		"Miejsce na skrzynię jest zablokowane"

"PracticeTimeRemaining"		"Round Starting in %s1"
"RoundStarting"				"Round Starting!"

"NMRiH_Votekick_List"			"User IDs for votekick are as follows:\n%s1"
"NMRiH_Votekick_InProgress"		"Głosowanie w toku!"
"NMRiH_Votekick_KickSelf"		"Nie możesz wyrzucić samego siebie!"
"NMRiH_Votekick_Started"		"Rozpoczęto głosowanie na wyrzucenie gracza: %s1\nmasz %s2 sekundy na zagłosowanie.\nWpisz !yes aby wyrzucić gracza."
"NMRiH_Votekick_UnknownPlayer"		"Nieznany ID gracza!\nWpisz !vklist aby zobaczyć listę graczy."
"NMRiH_Votekick_InvalidId"		"Błędne ID gracza.\nWpisz !vklist aby zobaczyć listę graczy."
"NMRiH_Votekick_Pass"			"Głosowanie udane!"
"NMRiH_Votekick_Fail"			"Głosowanie nie udane!"
"NMRiH_Votekick_NeedMorePlayers"	"Potrzebujesz conajmniej 3 graczy aby rozpocząć głosowanie."
"NMRiH_Votekick_BanSelf"		"Nie możesz zbanować samego siebie!"
"NMRiH_Voteban_Started"			"Rozpoczęto głosowanie na zbanowanie gracza: %s1\nmasz %s2 sekundy na oddanie głosu.\nWpisz !yes aby zbanować gracza."

"NMR_Automatic_Weapon_Switch"		"Automatyczne podnoszenie broni (jeśli jest lepsza)"

"NMR_Tertiary_Attack"			"Tertiary Attack"
"NMR_Drop_Weapon"			"Wyrzuć obecną broń"
"NMR_Gameplay"				"ROZGRYWKA"
"NMR_Setup"				"Wybierz charakter i podstawową broń"
"NMR_Slots_Title"			"Miejsca"

"Game_connected"			"%s1 połączył się"
"Game_disconnected"			"%s1 wyszedł z gry"

"Round_Start"				"Runda się rozpoczeła!"
"Round_Restart"				"Runda zrestartuje się za %s1"
"Round_PlayerShortage"			"Za mało graczy aby rozpocząć grę"

"Voice"						"Głos"

"NMRiH_VoiceCommand_Ammo"		"Potrzebuję amunicji"
"NMRiH_VoiceCommand_Follow"		"Za mną"
"NMRiH_VoiceCommand_Help"		"Pomocy!"
"NMRiH_VoiceCommand_Stay"		"Zatrzymaj się tu"
"NMRiH_VoiceCommand_No"			"Nie"
"NMRiH_VoiceCommand_Yes"		"Tak"
"NMRiH_VoiceCommand_ThankYou"		"Dzięki"
"NMRiH_VoiceCommand_Incoming"		"Nadchodzą"
"NMRiH_VoiceCommand_Injured"		"Ranny"
"NMRiH_VoiceCommand_Taunt"		"Taunt"

// Radio and chat strings can have control characters embedded to set colors.  For the control characters to be used, one must be at the start of the string.
// The control characters can be copied and pasted in notepad.
//  = 0x02 (STX) - Use team color up to the end of the player name.  This only works at the start of the string, and precludes using the other control characters.
//  = 0x03 (ETX) - Use team color from this point forward
//  = 0x04 (EOT) - Use location color from this point forward
//  = 0x05 (ENQ) - Use achievement color from this point forward
//  = 0x01 (SOH) - Use normal color from this point forward
"SDK_Chat_Team"				"(Drużyna) %s1 :  %s2"
"SDK_Chat_Team_Dead"			"*Martwy*(Drużyna) %s1 :  %s2"
"SDK_Chat_Spec"				"(Obserwator) %s1 :  %s2"
"SDK_Chat_All"				"%s1 :  %s2"
"SDK_Chat_All_Dead"			"(Martwy) %s1 :  %s2"
"SDK_Chat_All_Spec"			"(Obserwuje) %s1 :  %s2"

"SDK_Team_Unassigned"			"Nie przydzielony"
"SDK_Team_Spectator"			"Obserwatorzy"

"Chat_Admin"				"(ADMIN) "
"Chat_Dead"				"(Martwy) %s: "
"Chat_Spec"				"(Obserwuje) %s: "
"Chat_Prefix"				"%s: "
"Chat_Extracted"			"(Ocalony) %s: "

"Chat_Connected"			"%s1 dołączył do gry"
"Chat_Disconnected"			"%s1 wyszedł z gry (%s2)"
"Chat_Team"				"%s1 dołączył do drużyny %s2"
"Chat_Name"				"%s1 zmienił imie na %s2"
"Chat_Command"				"Server cvar \"%s1\" changed to %s2\n"

"Respawn_Minutes"			"Odrodzenie za %s1 minuty"
"Respawn_Seconds"			"Odrodzenie za %s1 sekundy"
"Respawn_Now"				"Odrodzenie ..."

"Survival_Round_Lost"			"Nie przetrwałeś"

"PlayerAlive"				"Status"
"PlayerAlive_Alive"			"Żywy"
"PlayerAlive_Dead"			"ZMARŁY"
"PlayerRespawns"			"Odrodzenie"

"Radial_ammo"				"Amunicja"

"Weapon_bow_deerhunter"			"PSE Deer Hunter"
"Weapon_exp_grenade"			"M67 Granat"
"Weapon_exp_molotov"			"Koktajl Mołotowa"
"Weapon_exp_tnt"			"TNT"
"Weapon_fa_500a"			"Mossberg 500a"
"Weapon_fa_870"				"Remington 870"
"Weapon_fa_1022"			"Ruger 10/22"
"Weapon_fa_1022_25mag"		"Ruger 10/22 w/ Extended Magazine"
"Weapon_fa_1911"			"Colt 1911"
"Weapon_fa_cz858"			"CZ858"
"Weapon_fa_fnfal"			"FN FAL"
"Weapon_fa_glock17"			"Glock 17"
"Weapon_fa_jae700"			"JAE-700"
"Weapon_fa_m16a4"			"M16A4"
"Weapon_fa_m16a4_carryhandle"		"M16A4 w/ Carry Handle"
"Weapon_fa_m92fs"			"Beretta M92FS"
"Weapon_fa_mac10"			"Ingram Mac-10"
"Weapon_fa_mp5a4"			"Heckler & Koch MP5A4"
"Weapon_fa_mkiii"			"Ruger MKIII"
"Weapon_fa_sako85"			"Sako 85"
"Weapon_fa_sks"				"Simonov SKS"
"Weapon_fa_superx3"			"Winchester Super X3"
"Weapon_fa_sv10"			"Beretta Perennia SV10"
"Weapon_fa_sw686"			"Smith & Wesson 686"
"Weapon_fa_winchester1892"	"Winchester 1892"
"Weapon_item_bandages"		"Bandaże"
"Weapon_item_maglite"		"Latarka"
"Weapon_item_pills"			"Tabletki"
"Weapon_item_first_aid"		"Apteczka"
"Weapon_item_gene_therapy"	"Gene Therapy"
"Weapon_item_walkietalkie"	"Walkie Talkie"
"Weapon_me_axe_fire"		"Siekiera"
"Weapon_me_bat_metal"		"Baseball"
"Weapon_me_abrasivesaw" "Piła ścierny"
"Weapon_me_chainsaw"		"Piła łańcuchowa"
"Weapon_me_crowbar"			"Łom"
"Weapon_me_cleaver"			"Tasak"
"Weapon_me_etool"			"E-Tool"
"Weapon_me_fubar"			"Fubar"
"Weapon_me_hatchet"			"Toporek"
"Weapon_me_kitknife"			"Nóż kuchenny"
"Weapon_me_machete"			"Maczeta"
"Weapon_me_pipe_lead"		"Rurka"
"Weapon_me_shovel"			"Łopata"
"Weapon_me_sledge"			"Młot"
"Weapon_me_wrench"			"Spawarka"
"Weapon_tool_barricade"		"Młotek do barykady"
"Weapon_tool_extinguisher"	"Gaśnica"
"Weapon_tool_flare_gun"		"Flare Gun"
"Weapon_tool_welder"		"Spawarka"

"ammobox_9mm"			"9mm"
"ammobox_45ACP"			".45 ACP"
"ammobox_357"			".357"
"ammobox_12gauge"		"12 Gauge"
"ammobox_22LR"			".22 LR"
"ammobox_308"			".308"
"ammobox_556"			"5.56mm"
"ammobox_762mm"			"7.62x39"
"ammobox_grenades"		"Granaty"
"ammobox_molotov"		"Koktajl mołotowa"
"ammobox_tnt"			"TNT"
"ammobox_arrow"			"Strzały"
"ammobox_fuel"			"Paliwo"
"ammobox_board"			"Deski"
"ammobox_flare"			"Flary"

"Weapon_bow_deerhunter_short"			"PSE D. Hunt."
"Weapon_exp_grenade_short"			"Granat"
"Weapon_exp_molotov_short"			"Koktajl mołotowa"
"Weapon_exp_tnt_short"				"TNT"
"Weapon_fa_500a_short"				"Moss. 500a"
