"lang" 
{ 
"Language" "Русский (Russian)" 
"Tokens" 
{ 

"NMRiH_Map_Time"			"Времени на уровень"
"NMRiH_Extract_Min"			"Минимум для спасения"
"NMRiH_Extract_Max"			"Максимум для спасения"

"NMRiH_FriendlyFire"			"Огонь по своим"
"NMRiH_RealismMode"			"Реализм"
"NMRiH_HardcoreSurvival"		"Выживание – «Хардкор»"
"NMRiH_ChallengeMode"			"Испытание"

"NMRiH_Practice_Starting"		"Недостаточно игроков для начала игры. Начинается режим тренировки."
"NMRiH_Practice_Ending"			"Игра скоро начнётся!"
"NMRiH_Round_Starting"			"Выживание начнётся через 5 секунд."

"NMRiH_Extraction_Preview"		"Доберитесь до точки эвакуации."
"NMRiH_Extraction_Start"		""
"NMRiH_Post_Extraction"			"Провал!"

"NMRiH_Player_Extracted"		"Вы были спасены!"

"NMRiH_Players_Win"			"Все выжившие были спасены!"
"NMRiH_Players_Win_Wave"		"Выжившие выстояли орду!"
"NMRiH_Zombies_Win"			"Выжившие были задавлены ордой!"

"NMRiH_Chat_All_Extracted"		"(СПАСЁН) %s1 :  %s2"

"NMRiH_Waiting_For_Spawn"		"Ожидание точки возрождения.."

"NMRiH_Health_Supply_Blocked"		"Лечебный пункт заблокирован"

"NMRiH_InventoryBox_CantCarry"		"Недостаточно места для этого предмета!"
"NMRiH_InventoryBox_OwnsItem"		"Уже есть такой предмет!"

"NMRiH_BarricadePointBlocked"		"Место для баррикады заблокировано!"

"NMRiH_LevelChanging"			"Карта сменится через %s1..."
"NMRiH_LevelTransition_WaitingForPlayers"	"Достигнут конец карты!\nОсталось: %s1 (игроков: %s2/%s3)"

"PracticeTimeRemaining"			"Раунд начнётся через %s1"
"RoundStarting"				"Раунд начинается!"

"HudNextObjective"			"СЛЕДУЮЩЕЕ ЗАДАНИЕ"

"HudSurvivalWave"			"ВОЛНА"
"HudSurvivalRemaining"			"ОСТАЛОСЬ"
"HudSurvivalZone"			"ЗОНА"
"HudSurvivalInactive"		"НЕАКТИВНАЯ"
"HudSurvivalResupply"			"СБРОС ПРИПАСОВ"
"HudSurvivalWaveBegin"			"ВОЛНА НАЧАЛАСЬ"
"HudSurvivalWaveEnd"			"ВОЛНА ЗАВЕРШЕНА"

"NMRiH_Votekick_List"			"Следующие ID в голосовании на исключение:\n%s1"
"NMRiH_Votekick_InProgress"		"Голосование уже идёт!"
"NMRiH_Votekick_KickSelf"		"Вы не можете голосовать за своё исключение!"
"NMRiH_Votekick_Started"		"Началось голосование за исключение игрока: %s1\nУ вас %s2 сек. для голосования.\nНапишите !yes, чтобы отдать голос за исключение."
"NMRiH_Votekick_UnknownPlayer"		"Неизвестный ID игрока!\nНапишите !vklist, чтобы просмотреть список игроков."
"NMRiH_Votekick_InvalidId"		"Неверный ID игрока!\nНапишите !vklist, чтобы просмотреть список игроков."
"NMRiH_Votekick_Pass"			"Голос принят!"
"NMRiH_Votekick_Fail"			"Голос не принят!"
"NMRiH_Votekick_NeedMorePlayers"	"Нужно минимум 3 игрока для начала голосования за исключение или блокировку."
"NMRiH_Votekick_BanSelf"		"Вы не можете голосовать против себя!"
"NMRiH_Voteban_Started"			"Началось голосование за блокировку игрока: %s1\nУ вас %s2 сек. для голосования.\nНапишите !yes, чтобы отдать свой голос."

"NMR_Automatic_Weapon_Switch"		"Автоматическая смена оружия (если оно эффективнее)"

"NMR_Tertiary_Attack"			"Третий тип атаки"
"NMR_Drop_Weapon"			"Бросить текущее оружие"
"NMR_Gameplay"				"НАСТРОЙКИ ИГРЫ"
"NMR_Setup"				"Выбор персонажа и начального оружия"
"NMR_Slots_Title"			"СЛОТЫ"

"Game_connected"			"%s1 подключается."
"Game_disconnected"			"%s1 покидает игру."

"Round_Start"				"Раунд начинается!"
"Round_Restart"				"Раунд будет перезапущен через %s1"
