"lang" 
{ 
"Language" "TChinese" 
"Tokens" 
{ 

"NMRiH_Map_Time"	"下一張地圖時間"
"NMRiH_Extract_Min"	"最少疏散"
"NMRiH_Extract_Max"	"最多疏散"

"NMRiH_FriendlyFire"		"隊友傷害"
"NMRiH_RealismMode"		"寫實模式"
"NMRiH_HardcoreSurvival"	"硬核生存"
"NMRiH_ChallengeMode"		"挑戰模式"

"NMRiH_Practice_Starting"	"玩家不足，開始準備模式。"
"NMRiH_Practice_Ending"		"遊戲即將開始！"
"NMRiH_Round_Starting"		"5 秒後開始生存。"

"NMRiH_Extraction_Preview"	"逃往疏散地點！"
"NMRiH_Extraction_Start"	""
"NMRiH_Post_Extraction"		"失敗！"

"NMRiH_Player_Extracted"	"成功疏散！"

"NMRiH_Players_Win"		"生還者已全數疏散！"
"NMRiH_Players_Win_Wave"	"生還者抵抗成功！"
"NMRiH_Zombies_Win"		"生還者慘遭剿滅！"

"NMRiH_Chat_All_Extracted"	"(已疏散) %s1 ：  %s2"

"NMRiH_Waiting_For_Spawn"	"等待重生地點…"

"NMRiH_Health_Supply_Blocked"	"醫療站遭阻擋"

"NMRiH_InventoryBox_CantCarry"	"道具空間不足！"
"NMRiH_InventoryBox_OwnsItem"	"已持有一項此類物品！"

"NMRiH_BarricadePointBlocked"	"設置處遭阻擋！"

"NMRiH_LevelChanging"	"關卡將在 %s1 秒後變更…"
"NMRiH_LevelTransition_WaitingForPlayers"	"抵達地圖終點！\n剩餘時間：%s1 (%s2/%s3 玩家)"

"PracticeTimeRemaining"	"回合開始倒數 %s1"
"RoundStarting"		"回合開始！"

"HudNextObjective"	"下一個目標"

"HudSurvivalWave"	"屍潮"
"HudSurvivalRemaining"	"剩餘"
"HudSurvivalZone"	"區域"
"HudSurvivalInactive"		"停滯"
"HudSurvivalResupply"	"發放補給空投"
"HudSurvivalWaveBegin"	"屍潮即將湧入"
"HudSurvivalWaveEnd"	"此波侵襲結束"

"NMRiH_Votekick_List"		"遭到投票踢除的玩家 ID 如下：\n%s1"
"NMRiH_Votekick_InProgress"	"投票已正在進行！"
"NMRiH_Votekick_KickSelf"	"您無法投票踢除自己！"
"NMRiH_Votekick_Started"	"投票踢除玩家： %s1\n您還有 %s2 秒進行投票\n說 !yes 進行投票。"
"NMRiH_Votekick_UnknownPlayer"	"未知的玩家 id！\n說 !vklist 開啟玩家名單。"
"NMRiH_Votekick_InvalidId"	"無效的玩家 id。\n說 !vklist 開啟玩家名單。"
"NMRiH_Votekick_Pass"		"投票成功！"
"NMRiH_Votekick_Fail"		"投票失敗！"
"NMRiH_Votekick_NeedMorePlayers"	"至少需要 3 名玩家投票踢除或封鎖。"
"NMRiH_Votekick_BanSelf"	"您無法踢除自己！"
"NMRiH_Voteban_Started"		"投票封鎖玩家： %s1\n您還有 %s2 秒進行投票。\n說 !yes 進行投票。"

"NMR_Automatic_Weapon_Switch"	"撿起武器時自動換成手上的武器 (若火力較強大)"

"NMR_Tertiary_Attack"	"第三方攻擊"
"NMR_Drop_Weapon"	"丟棄目前武器"
"NMR_Gameplay"		"遊戲"
"NMR_Setup"		"設定人物與初始武器"
"NMR_Slots_Title"	"槽"

"Game_connected"	"%s1 連接中"
"Game_disconnected"	"%s1 離開遊戲"

"Round_Start"		"即將開始！"
"Round_Restart"		"遊戲將在 %s1 後開始"
"Round_PlayerShortage"	"玩家不足"

"Item_Received"		"%s1 將%s2交給了您。"
"Item_TargetOwns"	"%s1 已經擁有%s2。"
"Item_TargetFull"	"%s1 沒有足夠的容納空間。"

"Watermelon_Rescued"	"成功拯救西瓜！所有玩家獲得 %s1 點分數。"

"Map_Time_Extended"	"地圖時間延長 %s1 分鐘。"

"VersionEmulation_Notice"		"本伺服器正在模擬遊戲版本 %s1"
"VersionEmulation_Disclaimer"	"功能可能遺失，且可能存在 BUG。"

// Prefix for (Voice) subtitle
"Voice"		"語音"

"NMRiH_VoiceCommand_Ammo"	"要求彈藥"
"NMRiH_VoiceCommand_Follow"	"跟著我"
"NMRiH_VoiceCommand_Help"	"救命！"
"NMRiH_VoiceCommand_Stay"	"停在這"
"NMRiH_VoiceCommand_No"		"不"
"NMRiH_VoiceCommand_Yes"	"好"
"NMRiH_VoiceCommand_ThankYou"	"感謝"
"NMRiH_VoiceCommand_Incoming"	"敵人來襲"
"NMRiH_VoiceCommand_Injured"	"受傷"
"NMRiH_VoiceCommand_Taunt"	"挑釁"

// Radio and chat strings can have control characters embedded to set colors.  For the control characters to be used, one must be at the start of the string.
// The control characters can be copied and pasted in notepad.
//  = 0x02 (STX) - Use team color up to the end of the player name.  This only works at the start of the string, and precludes using the other control characters.
//  = 0x03 (ETX) - Use team color from this point forward
//  = 0x04 (EOT) - Use location color from this point forward
//  = 0x05 (ENQ) - Use achievement color from this point forward
//  = 0x01 (SOH) - Use normal color from this point forward
"SDK_Chat_Team"		"(團隊) %s1 ：  %s2 "
"SDK_Chat_Team_Dead"	"*死亡* (團隊)%s1 ：  %s2 "
"SDK_Chat_Spec"		"(觀察者) %s1 ：  %s2 "
"SDK_Chat_All"		"%s1 ：  %s2 "
"SDK_Chat_All_Dead"	"(死亡) %s1 ：  %s2 "
"SDK_Chat_All_Spec"	"(觀察) %s1 ：  %s2 "

"SDK_Team_Unassigned"	"未加入隊伍"
"SDK_Team_Spectator"	"觀察者"

"Chat_Admin"		"(管理者) "
"Chat_Dead"		"(死亡)%s： "
"Chat_Spec"		"(觀察)%s： "
"Chat_Prefix"		"%s： "
"Chat_Extracted"	"(已疏散) %s： "

"Chat_Connected"	"%s1 加入了遊戲"
"Chat_Disconnected"	"%s1 離開遊戲 (%s2)"
"Chat_Team"		"%s1 加入 %s2"
"Chat_Name"		"%s1 更改暱稱為 %s2"
"Chat_Command"		"伺服器參數 \"%s1\" 更改為 %s2\n"

"Respawn_Minutes"	"%s1 分鐘後復活"
"Respawn_Seconds"	"%s1 秒後復活"
"Respawn_Now"		"重生中…"

"Survival_Round_Lost"	"你沒能倖存"

"PlayerAlive"		"狀態"
"PlayerAlive_Alive"	"存活"
"PlayerAlive_Dead"	"罹難"
"PlayerAlive_Extracted"	"已疏散"
"PlayerRespawns"	"重生"

"Radial_ammo"	"彈藥"

"Weapon_bow_deerhunter"		"PSE 獵鹿者"
"Weapon_exp_grenade"		"M67 手榴彈"
"Weapon_exp_molotov"		"莫勒托夫燃燒彈"
"Weapon_exp_tnt"		"TNT 炸藥"
"Weapon_fa_500a"		"莫斯伯格 500a"
"Weapon_fa_870"			"雷明頓 870"
"Weapon_fa_1022"		"儒格 10/22"
"Weapon_fa_1022_25mag"		"儒格 10/22 w/擴充彈匣"
"Weapon_fa_1911"		"科爾特 1911"
"Weapon_fa_cz858"		"CZ858"
"Weapon_fa_fnfal"		"FN FAL"
"Weapon_fa_glock17"		"格洛克 17"
"Weapon_fa_jae700"		"JAE-700"
"Weapon_fa_m16a4"		"M16A4 w/ACOG"
"Weapon_fa_m16a4_carryhandle"	"M16A4 w/提把"
"Weapon_fa_m92fs"		"貝瑞塔 M92FS"
"Weapon_fa_mac10"		"英格倫 Mac-10"
"Weapon_fa_mp5a4"		"黑克勒 科赫 MP5A4"
"Weapon_fa_mkiii"		"儒格 MKIII"
"Weapon_fa_sako85"		"沙可 85 (狙擊鏡)"
"Weapon_fa_sako85_ironsights"	"沙可 85 (機械瞄具)"
"Weapon_fa_sks"			"西蒙諾夫 SKS (刺刀)"
"Weapon_fa_sks_nobayo"		"西蒙諾夫 SKS (無刺刀)"
"Weapon_fa_superx3"		"溫徹斯特 Super X3"
"Weapon_fa_sv10"		"貝瑞塔裴瑞尼亞 SV10"
"Weapon_fa_sw686"		"史密斯 & 威生 686"
"Weapon_fa_winchester1892"	"溫徹斯特 1892"
"Weapon_item_bandages"		"繃帶"
"Weapon_item_maglite"		"手電筒"
"Weapon_item_pills"		"斐蘭克斯膠囊"
"Weapon_item_first_aid"		"醫療包"
"Weapon_item_gene_therapy"	"基因治療劑"
"Weapon_item_walkietalkie"	"對講機"
"Weapon_me_abrasivesaw"		"砂輪機"
"Weapon_me_axe_fire"		"消防斧"
"Weapon_me_bat_metal"		"球棒"
"Weapon_me_chainsaw"		"電鋸"
"Weapon_me_crowbar"		"鐵撬"
"Weapon_me_cleaver"		"切肉刀"
"Weapon_me_etool"		"土工器具"
"Weapon_me_fubar"		"破壞桿"
"Weapon_me_hatchet"		"短柄斧"
"Weapon_me_kitknife"		"廚房刀"
"Weapon_me_machete"		"開山刀"
"Weapon_me_pickaxe"		"十字鎬"
"Weapon_me_pipe_lead"		"鉛管"
"Weapon_me_shovel"		"鐵鏟"
