"lang" 
{ 
"Language" "Ukrainian" 
"Tokens" 
{ 

"NMRiH_Map_Time"			"Час мапи"
"NMRiH_Extract_Min"			"Мінімум для порятунку"
"NMRiH_Extract_Max"			"Максимум для порятунку"

"NMRiH_FriendlyFire"			"Дружній вогонь"
"NMRiH_RealismMode"				"Реалізм"
"NMRiH_HardcoreSurvival"		"Виживання - Хардкор"

"NMRiH_Practice_Starting"		"Недостатньо гравців для початку гри. Розпочинається режим тренування."
"NMRiH_Practice_Ending"			"Гра незабаром почнеться!"
"NMRiH_Round_Starting"			"Виживання почнеться через 5 секунд"

"NMRiH_Extraction_Preview"		"Дістаньтеся до точки евакуації"
"NMRiH_Extraction_Start"		""
"NMRiH_Post_Extraction"			"Провал!"

"NMRiH_Player_Extracted"		"Вас було врятовано!"

"NMRiH_Players_Win"			"Усіх уцілілих було врятовано!"
"NMRiH_Players_Win_Wave"		"Уцілілі витримали хвилю!"
"NMRiH_Zombies_Win"			"Усі вцілілі загинули!"

"NMRiH_Chat_All_Extracted"		"(УРЯТОВАНО) %s1 :  %s2"

"NMRiH_Waiting_For_Spawn"		"Очікування точки відродження.."

"NMRiH_Health_Supply_Blocked"		"Медичний пункт заблоковано"

"NMRiH_Votekick_List"			"Перелік гравців на прогнання:\n%s1"
"NMRiH_Votekick_InProgress"		"Голосування вже триває!"
"NMRiH_Votekick_KickSelf"		"Ви не можете голосувати за своє вигнання!"
"NMRiH_Votekick_Started"		"Розпочалося голосування за прогнання гравця: %s1\nВи маєте %s2 секунд(-и) для голосування.\nОберіть !yes, аби проголосувати за це прогнання."
"NMRiH_Votekick_UnknownPlayer"		"Невідомий id гравця!\nНапишіть !vklist, аби переглянути перелік гравців."
"NMRiH_Votekick_InvalidId"		"Неправильний id гравця.\nНапишіть !vklist, аби переглянути перелік гравців."
"NMRiH_Votekick_Pass"			"Голос прийнято!"
"NMRiH_Votekick_Fail"			"Голос не прийнято!"
"NMRiH_Votekick_NeedMorePlayers"	"Необхідно щонайменше 3 гравців, аби розпочати голосування за прогнання або бан."
"NMRiH_Votekick_BanSelf"		"Ви не можете голосувати проти себе!"
"NMRiH_Voteban_Started"			"Розпочалося голосування за бан гравця: %s1\nВи маєте %s2 секунд(-и), аби проголосувати.\nОберіть !yes, аби проголосувати за це прогнання."

"NMR_Automatic_Weapon_Switch"		"Автоматично обирати підібрану зброю (якщо вона потужніша)"

"NMR_Tertiary_Attack"			"Третій тип атаки"
"NMR_Drop_Weapon"			"Викинути поточну зброю"
"NMR_Gameplay"				"НАЛАШТУВАННЯ ГРИ"
"NMR_Setup"				"Обрати персонажа та початкову зброю"
"NMR_Slots_Title"			"СЛОТИ"

"Game_connected"			"%s1 долучився до гри"
"Game_disconnected"			"%s1 залишив гру"

"Round_Start"				"Раунд розпочинається!"
"Round_Restart"				"Раунд буде повторно запущено через %s1"
"Round_PlayerShortage"			"Недостатньо гравців, аби розпочати раунд"

"Voice"						"Голос"

"NMRiH_VoiceCommand_Ammo"		"Потрібні набої"
"NMRiH_VoiceCommand_Follow"		"За мною"
"NMRiH_VoiceCommand_Help"		"Допоможіть!"
"NMRiH_VoiceCommand_Stay"		"Залишайся тут"
"NMRiH_VoiceCommand_No"			"Ні"
"NMRiH_VoiceCommand_Yes"		"Так"
"NMRiH_VoiceCommand_ThankYou"		"Дякую"
"NMRiH_VoiceCommand_Incoming"		"Вони наближаються"
"NMRiH_VoiceCommand_Injured"		"Мене поранено"
"NMRiH_VoiceCommand_Taunt"		"Taunt"

// Radio and chat strings can have control characters embedded to set colors.  For the control characters to be used, one must be at the start of the string.
// The control characters can be copied and pasted in notepad.
//  = 0x02 (STX) - Use team color up to the end of the player name.  This only works at the start of the string, and precludes using the other control characters.
//  = 0x03 (ETX) - Use team color from this point forward
//  = 0x04 (EOT) - Use location color from this point forward
//  = 0x05 (ENQ) - Use achievement color from this point forward
//  = 0x01 (SOH) - Use normal color from this point forward
"SDK_Chat_Team"				"(КОМАНДА) %s1 :  %s2"
"SDK_Chat_Team_Dead"		"*МЕРТВИЙ*(КОМАНДА) %s1 :  %s2"
"SDK_Chat_Spec"				"(Глядачі) %s1 :  %s2"
"SDK_Chat_All"				"%s1 :  %s2"
"SDK_Chat_All_Dead"			"(МЕРТВИЙ) %s1 :  %s2"
"SDK_Chat_All_Spec"			"(ГЛЯДАЧІ) %s1 :  %s2"

"SDK_Team_Unassigned"			"Неавторизований"
"SDK_Team_Spectator"			"ГЛЯДАЧІ"

"Chat_Admin"				"(АДМІН) "
"Chat_Dead"				"(Мертвий) %s: "
"Chat_Spec"				"(Глядач) %s: "
"Chat_Prefix"				"%s: "
"Chat_Extracted"			"(Урятований) %s: "

"Chat_Connected"			"%s1 долучився до гри"
"Chat_Disconnected"			"%s1 залишив гру (%s2)"
"Chat_Team"				"%s1 обрав команду %s2"
"Chat_Name"				"%s1 змінив псевдо на %s2"
"Chat_Command"				"Змінну сервера \"%s1\" було змінено на %s2\n"

"Respawn_Minutes"			"Відродження через %s1 хвилин(-и)"
"Respawn_Seconds"			"Відродження через %s1 секунд(-и)"
"Respawn_Now"				"Відродження ..."

"Survival_Round_Lost"			"Ви не вціліли"

"PlayerAlive"				"Статус"
"PlayerAlive_Alive"			"ЖИВИЙ"
"PlayerAlive_Dead"			"ЗАРАЖЕНИЙ"
"PlayerRespawns"			"Відроджується"

"Radial_ammo"				"Набої"

"Weapon_bow_deerhunter"			"Мисливський лук"
"Weapon_exp_grenade"			"M67 Граната"
"Weapon_exp_molotov"			"Коктейль Молотова"
"Weapon_exp_tnt"			"Вибухівка"
"Weapon_fa_500a"			"Моссберґ 500a"
"Weapon_fa_870"				"Ремінґтон 870"
"Weapon_fa_1022"			"Рюгер 10/22"
"Weapon_fa_1022_25mag"		"Рюгер 10/22 w/ Расширенная Журнал"
"Weapon_fa_1911"			"Кольт 1911"
"Weapon_fa_cz858"			"CZ858"
"Weapon_fa_fnfal"			"FN FAL"
"Weapon_fa_glock17"			"Ґлок"
"Weapon_fa_m16a4"			"M16A4"
"Weapon_fa_m16a4_carryhandle"		"M16A4 w/ ручка для переноски"
"Weapon_fa_m92fs"			"Беретта M92FS"
"Weapon_fa_mac10"			"Інґрам Mac-10"
"Weapon_fa_mp5a4"			"Геклер & Кох MP5A4"
"Weapon_fa_mkiii"			"Рюґер MKIII"
"Weapon_fa_sako85"			"Сако 85"
"Weapon_fa_sks"				"SKS 7.62мм"
"Weapon_fa_superx3"			"Вінчестер Super X3"
"Weapon_fa_sv10"			"Беретта Перенья SV10"
"Weapon_fa_sw686"			"Сміт & Весон 686"
"Weapon_fa_winchester1892"	"Вінчестер 1892"
"Weapon_item_bandages"		"Бинти"
"Weapon_item_maglite"		"Ліхтарик"
"Weapon_item_pills"			"Піґулки Phalanx"
"Weapon_item_first_aid"		"Аптечка"
"Weapon_item_gene_therapy"	"Gene Therapy"
"Weapon_item_walkietalkie"	"Рація"
"Weapon_me_axe_fire"		"Пожежна сокира"
"Weapon_me_bat_metal"		"Бейсбольна битка"
"Weapon_me_abrasivesaw" "абразивний пила"
"Weapon_me_chainsaw"		"Бензопила"
"Weapon_me_crowbar"			"Лом"
"Weapon_me_cleaver"			"м'ясорубка"
"Weapon_me_hatchet"			"Томагавк"
"Weapon_me_kitknife"			"Кухонний ніж"
"Weapon_me_machete"			"Мачете"
"Weapon_me_pipe_lead"		"Свинцева труба"
"Weapon_me_shovel"			"Лопата"
"Weapon_me_fubar"			"FUBAR"
"Weapon_me_etool"			"E-TOOL"
"Weapon_me_sledge"			"Кувалда"
"Weapon_me_wrench"			"Гайковий ключ"
"Weapon_tool_barricade"		"Барикадний молоток"
"Weapon_tool_extinguisher"	"Вогнегасник"
"Weapon_tool_flare_gun"		"Ракетниця"
"Weapon_tool_welder"		"Зварювальний апарат"

"ammobox_9mm"			"9мм"
"ammobox_45ACP"			".45 ACP"
"ammobox_357"			".357"
"ammobox_12gauge"		"12 Gauge"
"ammobox_22LR"			".22 LR"
"ammobox_308"			".308"
"ammobox_556"			"5.56мм"
"ammobox_762mm"			"7.62x39"
"ammobox_grenades"		"Гранати"
"ammobox_molotov"		"Коктейлі Молотова"
"ammobox_tnt"			"Вибухівка"
"ammobox_arrow"			"Стріли"
"ammobox_fuel"			"Паливо"
"ammobox_board"			"Дошки"
"ammobox_flare"			"Сиґнальні ракети"

"Weapon_bow_deerhunter_short"			"Лук"
"Weapon_exp_grenade_short"			"Граната"
"Weapon_exp_molotov_short"			"Молотова"
"Weapon_exp_tnt_short"				"Вибухівка"
"Weapon_fa_500a_short"				"Moсс. 500a"
"Weapon_fa_870_short"				"Рем. 870"
