"lang" 
{ 
"Language" "Svenska (Swedish)" 
"Tokens" 
{ 

"NMRiH_Map_Time"			"Tid per karta"
"NMRiH_Extract_Min"			"Evakuering Minst"
"NMRiH_Extract_Max"			"Evakuering Max"

"NMRiH_FriendlyFire"			"Vådaskott"
"NMRiH_RealismMode"				"Realism Läge"
"NMRiH_HardcoreSurvival"		"Hardcore Överlevnad"

"NMRiH_Practice_Starting"		"Inte tillräckligt med spelare för att börja.  Startar övnings läge."
"NMRiH_Practice_Ending"			"Spelet börjar snart!"
"NMRiH_Round_Starting"			"Överlevnaden kommer börja om 5 sekunder."

"NMRiH_Extraction_Preview"		"Ta dig till evakuerings punkten"
"NMRiH_Extraction_Start"		""
"NMRiH_Post_Extraction"			"Misslyckande!"

"NMRiH_Player_Extracted"		"Du har blivit evakuerad!"

"NMRiH_Players_Win"			"Alla överlevare har blivit evakuerade!"
"NMRiH_Players_Win_Wave"		"Överlevarna har blivit evakuerade!"
"NMRiH_Zombies_Win"			"Överlevarna har förlorat!"

"NMRiH_Chat_All_Extracted"		"(EVAKUERAD) %s1 :  %s2"

"NMRiH_Waiting_For_Spawn"		"Väntar på en spawn punkt.."

"NMRiH_Health_Supply_Blocked"		"Hälsostation upptagen"

"NMRiH_Votekick_List"			"Användar ID för votekick är:\n%s1"
"NMRiH_Votekick_InProgress"		"Röstning redan igång!"
"NMRiH_Votekick_KickSelf"		"Du kan inte sparka dig själv!"
"NMRiH_Votekick_Started"		"Votekick startad för spelare: %s1\nDu har %s2 sekunder på dig att rösta.\nSkriv !yes för att rösta ja."
"NMRiH_Votekick_UnknownPlayer"		"Okänd spelar ID!\nSkriv !vklist för en lista av spelare."
"NMRiH_Votekick_InvalidId"		"Ogiltig spelar ID.\nSkriv !vklist för en lista av spelare."
"NMRiH_Votekick_Pass"			"Omröstning lyckad!"
"NMRiH_Votekick_Fail"			"Omröstning misslyckad!"
"NMRiH_Votekick_NeedMorePlayers"	"Behöver åtminstone tre spelare för att använda votekick eller voteban."
"NMRiH_Votekick_BanSelf"		"Du kan inte banna dig själv!"
"NMRiH_Voteban_Started"			"Voteban startad för spelare: %s1\nDu har %s2 sekunder på dig att rösta.\nSkriv !yes för att rösta ja."

"NMR_Automatic_Weapon_Switch"		"Byt automatiskt till vapen som du plockar upp (om vapnet är kraftigare)"

"NMR_Tertiary_Attack"			"Tertiär Attack"
"NMR_Drop_Weapon"			"Släpp nuvarande vapen"
"NMR_Gameplay"				"SPELUPPLÄGG"
"NMR_Setup"				"Ändra karaktär och startvapen"
"NMR_Slots_Title"			"SLOTS"

"Game_connected"			"%s1 har anslutit"
"Game_disconnected"			"%s1 har lämnat spelet"

"Round_Start"				"Rond startar!"
"Round_Restart"				"Rond startarom om %s1"
"Round_PlayerShortage"			"Inte tillräckligt med spelare för att starta ronden"

"Voice"						"Tal"

"NMRiH_VoiceCommand_Ammo"		"Behöver ammo!"
"NMRiH_VoiceCommand_Follow"		"Följ mig"
"NMRiH_VoiceCommand_Help"		"Hjälp!"
"NMRiH_VoiceCommand_Stay"		"Stanna här"
"NMRiH_VoiceCommand_No"		"Nej"
"NMRiH_VoiceCommand_Yes"		"Ja"
"NMRiH_VoiceCommand_ThankYou"		"Tack!"
"NMRiH_VoiceCommand_Incoming"		"Inkommande"
"NMRiH_VoiceCommand_Injured"		"Skadad"
"NMRiH_VoiceCommand_Taunt"		"Taunt"

// Radio and chat strings can have control characters embedded to set colors.  For the control characters to be used, one must be at the start of the string.
// The control characters can be copied and pasted in notepad.
//  = 0x02 (STX) - Use team color up to the end of the player name.  This only works at the start of the string, and precludes using the other control characters.
//  = 0x03 (ETX) - Use team color from this point forward
//  = 0x04 (EOT) - Use location color from this point forward
//  = 0x05 (ENQ) - Use achievement color from this point forward
//  = 0x01 (SOH) - Use normal color from this point forward
"SDK_Chat_Team"				"(LAG) %s1 :  %s2"
"SDK_Chat_Team_Dead"			"*DÖD*(LAG) %s1 :  %s2"
"SDK_Chat_Spec"				"(Åskådare) %s1 :  %s2"
"SDK_Chat_All"				"%s1 :  %s2"
"SDK_Chat_All_Dead"			"(DÖD) %s1 :  %s2"
"SDK_Chat_All_Spec"			"(ÅSKÅDARE) %s1 :  %s2"

"SDK_Team_Unassigned"			"Otilldelad"
"SDK_Team_Spectator"			"Åskådarna"

"Chat_Admin"				"(ADMIN) "
"Chat_Dead"				"(Död) %s: "
"Chat_Spec"				"(Åskådare) %s: "
"Chat_Prefix"				"%s: "
"Chat_Extracted"			"(Evakuerad) %s: "

"Chat_Connected"			"%s1 har gått med i spelet"
"Chat_Disconnected"			"%s1 lämnade spelet (%s2)"
"Chat_Team"				"%s1 gick med i lag %s2"
"Chat_Name"				"%s1 ändrade namn till %s2"
"Chat_Command"				"Server cvar \"%s1\" ändrad till %s2\n"

"Respawn_Minutes"			"Återuppstår om %s1 Minuter"
"Respawn_Seconds"			"Återuppstår om %s1 Sekunder"
"Respawn_Now"				"Återuppstår ..."

"Survival_Round_Lost"			"Du överlevde inte"

"PlayerAlive"				"Status"
"PlayerAlive_Alive"			"LEVANDE"
"PlayerAlive_Dead"			"AVLIDEN"
"PlayerRespawns"			"Återuppstår"

"Radial_ammo"				"Ammo"

"Weapon_bow_deerhunter"			"PSE Deer Hunter"
"Weapon_exp_grenade"			"M67 Granat"
"Weapon_exp_molotov"			"Molotov"
"Weapon_exp_tnt"			"TNT"
"Weapon_fa_500a"			"Mossberg 500a"
"Weapon_fa_870"				"Remington 870"
"Weapon_fa_1022"			"Ruger 10/22"
"Weapon_fa_1022_25mag"		"Ruger 10/22 w/ Extended Magazine"
"Weapon_fa_1911"			"Colt 1911"
"Weapon_fa_cz858"			"CZ858"
"Weapon_fa_fnfal"			"FN FAL"
"Weapon_fa_glock17"			"Glock 17"
"Weapon_fa_jae700"			"JAE-700"
"Weapon_fa_m16a4"			"M16A4"
"Weapon_fa_m16a4_carryhandle"		"M16A4 w/ Carry Handle"
"Weapon_fa_m92fs"			"Beretta M92FS"
"Weapon_fa_mac10"			"Ingram Mac-10"
"Weapon_fa_mp5a4"			"Heckler & Koch MP5A4"
"Weapon_fa_mkiii"			"Ruger MKIII"
"Weapon_fa_sako85"			"Sako 85"
"Weapon_fa_sks"				"SKS 7.62mm"
"Weapon_fa_superx3"			"Winchester Super X3"
"Weapon_fa_sv10"			"Beretta Perennia SV10"
"Weapon_fa_sw686"			"Smith & Wesson 686"
"Weapon_fa_winchester1892"	"Winchester 1892"
"Weapon_item_bandages"		"Bandage"
"Weapon_item_maglite"		"Maglite"
"Weapon_item_pills"			"Phalanx Piller"
"Weapon_item_first_aid"		"Första hjälpen kit"
"Weapon_item_gene_therapy"	"Gene Therapy"
"Weapon_item_walkietalkie"	"Walkie Talkie"
"Weapon_me_axe_fire"		"Brandyxa"
"Weapon_me_bat_metal"		"Slagträ"
"Weapon_me_abrasivesaw" "Slip sågen"
"Weapon_me_chainsaw"		"Motorsåg"
"Weapon_me_crowbar"			"Kofot"
"Weapon_me_cleaver"			"Köttyxa"
"Weapon_me_etool"			"E-Tool"
"Weapon_me_fubar"			"Fubar"
"Weapon_me_hatchet"			"Handyxa"
"Weapon_me_kitknife"			"Kökskniv"
"Weapon_me_machete"			"Machete"
"Weapon_me_pipe_lead"		"Järnrör"
"Weapon_me_shovel"			"Spade"
"Weapon_me_sledge"			"Slägga"
"Weapon_me_wrench"			"Skiftnyckel"
"Weapon_tool_barricade"		"Barrikad Hammare"
"Weapon_tool_extinguisher"	"Brandsläckare"
"Weapon_tool_flare_gun"		"Signalpistol"
"Weapon_tool_welder"		"Svets"

"ammobox_9mm"				"9mm"
"ammobox_45ACP"				".45 ACP"
"ammobox_357"				".357"
"ammobox_12gauge"			"12 Gauge"
"ammobox_22LR"				".22 LR"
"ammobox_308"				".308"
"ammobox_556"				"5.56mm"
"ammobox_762mm"				"7.62x39"
"ammobox_grenades"			"Granater"
"ammobox_molotov"			"Molotover"
"ammobox_fuel"				"Bränsle"
"ammobox_tnt"				"TNT"
"ammobox_arrow"				"Pilar"
"ammobox_board"				"Brädor"
"ammobox_flare"				"Lysgranat"

"Weapon_bow_deerhunter_short"			"PSE D. Hunt."
"Weapon_exp_grenade_short"			"Granat"
"Weapon_exp_molotov_short"			"Molotov"
"Weapon_exp_tnt_short"				"TNT"
"Weapon_fa_500a_short"				"Moss. 500a"
"Weapon_fa_870_short"				"Rem. 870"
"Weapon_fa_1022_short"				"Ruger 10/22"
"Weapon_fa_1911_short"				"Colt 1911"
"Weapon_fa_cz858_short"				"CZ858"
"Weapon_fa_fnfal_short"				"FN FAL"
"Weapon_fa_glock17_short"			"Glock 17"
